Pages,URL,HRef,Visits,Views,Average Time Viewed (seconds),Average Time to Serve (ms)
Update your personal information - My ISED Account - ISED,http://www.ic.gc.ca/app/scr/registration-inscription/update/updatePersonal.html,http://www.ic.gc.ca/app/scr/registration-inscription/update/updatePersonal.html,3137,3974,48,0
"Mandate - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00018.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00018.html,3114,3794,142,0
Créer un compte - étape 2 de 2 - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/Creer.html,http://www.ic.gc.ca/app/scr/registration-inscription/Creer.html,2715,5487,129,0
Change your password - My ISED Account - ISED,http://www.ic.gc.ca/app/scr/registration-inscription/update/updatePassword.html,http://www.ic.gc.ca/app/scr/registration-inscription/update/updatePassword.html,2708,4305,44,0
"Conditions - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07033.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07033.html,2620,2862,127,0
We found your username(s) - My ISED Account - ISED,http://strategis.ic.gc.ca/app/scr/registration-inscription/usernameEmailSuccess.html,http://strategis.ic.gc.ca/app/scr/registration-inscription/usernameEmailSuccess.html,2546,2772,87,0
Créer un compte - réussi - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/CreerUnCompteReussi.html,http://www.ic.gc.ca/app/scr/registration-inscription/CreerUnCompteReussi.html,2449,2547,287,0
"Portefeuille de l'Innovation, Sciences et Développement économique - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_00022.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_00022.html,2332,2978,126,0
"John Knubley - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07015.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07015.html,2272,2630,107,0
Accéder à votre compte - Mon compte à Industrie Canada - Industrie Canada,http://strategis.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fra,http://strategis.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fra,2115,3550,40,0
Answer your challenge question - My ISED Account - ISED,http://strategis.ic.gc.ca/app/scr/registration-inscription/ForgotPasswordGen.html,http://strategis.ic.gc.ca/app/scr/registration-inscription/ForgotPasswordGen.html,2108,3955,23,0
"Appli Entreprises Canada - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07670.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07670.html,2061,2314,142,0
Update your account - My ISED Account - ISED,http://strategis.ic.gc.ca/app/scr/registration-inscription/update/update.html,http://strategis.ic.gc.ca/app/scr/registration-inscription/update/update.html,2043,4187,37,0
"Contact us by email - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/frm-eng/YDES-8VAL9G,http://www.ic.gc.ca/eic/site/icgc.nsf/frm-eng/YDES-8VAL9G,1991,2109,151,0
"Search - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/06957.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/06957.html,1982,2497,183,0
