Pages,URL,HRef,Visits,Views,Average Time Viewed (seconds),Average Time to Serve (ms)
Download a listing of points of interest for topic: Financing - Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?tpcId=1,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?tpcId=1,61,88,59,0
"Contact Innovation, Science and Economic Development Canada - Innovation, Science and Economic Development Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07026.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07026.html,57,89,190,0
"History - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00023.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00023.html,56,80,10,0
"List: Forms, reports, guides... - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07128.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07128.html,56,97,131,0
"Politiques et recherche - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07024.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07024.html,50,57,167,0
"Accueil - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca//eic/site/icgc.nsf/fra/accueil,http://www.ic.gc.ca//eic/site/icgc.nsf/fra/accueil,50,60,132,0
"Inscrivez-vous aux bulletins et aux mises à jour par courriel - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07034.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07034.html,47,71,140,0
"Paul Thompson - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07655.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07655.html,42,45,69,0
,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07147.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07147.html,42,45,25,0
Access your account - My ISED Account - ISED,http://oti.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,http://oti.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,42,71,33,0
"Forms, reports, guides … - Innovation, Science and Economic Development Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07111.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07111.html,40,54,194,0
"Secretaries/Ministers of State - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/00026.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/00026.html,37,50,198,0
"Conseil consultatif canadien de la statistique – Notices biographiques - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07671.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07671.html,37,45,419,0
Créer un compte - étape 1 de 2 - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/CreerUnCompte.html,http://www.ic.gc.ca/app/scr/registration-inscription/CreerUnCompte.html,35,42,30,0
"Contact Innovation, Science and Economic Development Canada - Innovation, Science and Economic Development Canada",http://www.nuans.com/eic/site/icgc.nsf/eng/h_07026.html,http://www.nuans.com/eic/site/icgc.nsf/eng/h_07026.html,35,40,77,0
"Ministers of Innovation, Science and Economic Development's Precursor Departments - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/00025.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/00025.html,34,38,153,0
,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07026.html,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07026.html,34,119,243,0
"Feedback - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/frm-eng/VVIK-9A5SHD,http://www.ic.gc.ca/eic/site/icgc.nsf/frm-eng/VVIK-9A5SHD,33,33,0,0
Changer votre mot de passe - Mon compte à Industrie Canada - Industrie Canada,http://strategis.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourMotDePasse.html,http://strategis.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourMotDePasse.html,33,54,44,0
"Kimberly Eadie - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/mail/Kimberly_Eadie,http://www.ic.gc.ca/eic/site/icgc.nsf/mail/Kimberly_Eadie,27,34,49,0
Access your account - My ISED Account - ISED,http://oti.ic.gc.ca/app/scr/registration-inscription/home.html,http://oti.ic.gc.ca/app/scr/registration-inscription/home.html,24,53,71,0
"Droit d'auteur — Permission écrite - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07414.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07414.html,21,25,140,0
"Liste : formulaires, reports et guides... - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07128.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07128.html,20,21,56,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_07026.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_07026.html,20,29,149,0
"Fils RSS - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07032.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07032.html,18,27,22,0
"ISED’s Scientific Integrity Policy - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07669.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07669.html,18,22,258,0
"Home - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca./eic/site/icgc.nsf/eng/home,http://www.ic.gc.ca./eic/site/icgc.nsf/eng/home,18,24,179,0
"Money and finances theme – Promotional features - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/frm-eng/MMCN-A3HMJJ,http://www.ic.gc.ca/eic/site/icgc.nsf/frm-eng/MMCN-A3HMJJ,18,32,524,0
,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07133.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07133.html,17,17,163,0
"Science and innovation theme – Promotional features - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/frm-eng/MMCN-9VZKNH,http://www.ic.gc.ca/eic/site/icgc.nsf/frm-eng/MMCN-9VZKNH,17,26,325,0
GSC 175 - Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=201,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=201,17,23,103,0
,http://www.ic.gc.ca/eic/site/ic-gc.nsf/fra/07398.html,http://www.ic.gc.ca/eic/site/ic-gc.nsf/fra/07398.html,17,18,11,0
"Secrétaires d'État et ministres d'État - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/00026.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/00026.html,17,17,266,0
"Home - Innovation, Science and Economic Development Canada",http://ised-lex-web-ui-pipe-pipeline-2uiogg-webappbucket-ihtkgy7w2vl4.s3.amazonaws.com/www.ic.gc.ca/eic/site/icgc.nsf/eng/home.html,http://ised-lex-web-ui-pipe-pipeline-2uiogg-webappbucket-ihtkgy7w2vl4.s3.amazonaws.com/www.ic.gc.ca/eic/site/icgc.nsf/eng/home.html,17,29,433,0
Mettre votre compte à jour - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajour.html?lang=fra,http://www.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajour.html?lang=fra,16,21,165,0
Update your account - My ISED Account - ISED,http://www.ic.gc.ca/app/scr/registration-inscription/update/update.html?lang=eng,http://www.ic.gc.ca/app/scr/registration-inscription/update/update.html?lang=eng,15,24,101,0
Créer un compte - étape 1 de 2 - Mon compte à Industrie Canada - Industrie Canada,http://strategis.ic.gc.ca/app/scr/registration-inscription/CreerUnCompte.html,http://strategis.ic.gc.ca/app/scr/registration-inscription/CreerUnCompte.html,15,21,28,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/06957.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/06957.html,15,16,134,0
Nom(s) d'utilisateur correspondant(s) - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/ForgotUsername.html?lang=fra,http://www.ic.gc.ca/app/scr/registration-inscription/ForgotUsername.html?lang=fra,14,20,42,0
,http://ic.gc.ca/app/scr/registration-inscription/home.html,http://ic.gc.ca/app/scr/registration-inscription/home.html,12,26,67,0
,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_00023.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_00023.html,11,11,19,0
"Politique sur l’intégrité scientifique d’ISDE - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07669.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07669.html,11,12,122,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/accueil,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/accueil,11,18,290,0
Create an account - step 2 of 2 - My ISED Account - ISED,http://www.ic.gc.ca/app/scr/registration-inscription/register.html?lang=eng,http://www.ic.gc.ca/app/scr/registration-inscription/register.html?lang=eng,11,12,63,0
,http://www.ic.gc.ca/app/scr/registration-inscription/Creer.html?lang=fra,http://www.ic.gc.ca/app/scr/registration-inscription/Creer.html?lang=fra,11,19,119,0
Modifiez votre question de récupération du mot de passe - Mon compte à Industrie Canada - Industrie Canada,http://strategis.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourQuestionSecret.html,http://strategis.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourQuestionSecret.html,10,11,39,0
Update your account - My ISED Account - ISED,http://oti.ic.gc.ca/app/scr/registration-inscription/update/update.html,http://oti.ic.gc.ca/app/scr/registration-inscription/update/update.html,10,26,20,0
Create an account - step 1 of 2 - My ISED Account - ISED,http://oti.ic.gc.ca/app/scr/registration-inscription/register_email.html,http://oti.ic.gc.ca/app/scr/registration-inscription/register_email.html,10,26,8,0
Update your account - My ISED Account - ISED,http://ic.gc.ca/app/scr/registration-inscription/update/update.html,http://ic.gc.ca/app/scr/registration-inscription/update/update.html,9,17,46,0
,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/00025.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/00025.html,9,9,81,0
Access your account - My ISED Account - ISED,http://ito.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,http://ito.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,9,9,141,0
Access your account - My ISED Account - ISED,http://www.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng&lang=eng,http://www.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng&lang=eng,9,14,24,0
"Our organization - Innovation, Science and Economic Development Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_00007.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_00007.html,8,11,185,0
"Formulaires, rapports, guides… - Innovation, Sciences et Développement économique Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_07111.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_07111.html,8,9,669,0
,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=5,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=5,8,8,76,0
,http://www.ic.gc.ca/eic/site/icgc.nsf/frm-eng/MMCN-9VEL69,http://www.ic.gc.ca/eic/site/icgc.nsf/frm-eng/MMCN-9VEL69,8,25,132,0
Update your personal information - My ISED Account - ISED,http://oti.ic.gc.ca/app/scr/registration-inscription/update/updatePersonal.html,http://oti.ic.gc.ca/app/scr/registration-inscription/update/updatePersonal.html,7,8,36,0
Access your account - My ISED Account - ISED,http://www.cipo.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,http://www.cipo.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,7,9,29,0
Download a listing of points of interest for topic: Investments in Canadian Post-Secondary Institutions - Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?tpcId=241,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?tpcId=241,7,9,12,0
,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=181,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=181,7,11,454,0
Download a listing of points of interest for topic: Industries and business - Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?tpcId=5,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?tpcId=5,7,7,31,0
"Home - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00000.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00000.html,7,9,32,0
Accéder à votre compte - Mon compte à Industrie Canada - Industrie Canada,http://www.cipo.ic.gc.ca/app/scr/registration-inscription/accueil.html?lang=fra,http://www.cipo.ic.gc.ca/app/scr/registration-inscription/accueil.html?lang=fra,6,9,25,0
,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=281,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=281,6,9,824,0
"Kimberly Eadie - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/courriel/Kimberly_Eadie,http://www.ic.gc.ca/eic/site/icgc.nsf/courriel/Kimberly_Eadie,6,6,19,0
Create an account - step 2 of 2 - My ISED Account - ISED,http://oti.ic.gc.ca/app/scr/registration-inscription/register.html,http://oti.ic.gc.ca/app/scr/registration-inscription/register.html,6,13,108,0
Access your account - My ISED Account - ISED,http://fednor.gc.ca/app/scr/registration-inscription/home.html?lang=eng,http://fednor.gc.ca/app/scr/registration-inscription/home.html?lang=eng,6,8,136,0
,http://ised-lex-web-ui-codebuilddeploy-vrg8-webappbucket-1hoehq6et3u7u.s3.amazonaws.com/www.ic.gc.ca/eic/site/icgc.nsf/eng/home.html,http://ised-lex-web-ui-codebuilddeploy-vrg8-webappbucket-1hoehq6et3u7u.s3.amazonaws.com/www.ic.gc.ca/eic/site/icgc.nsf/eng/home.html,6,12,174,0
Update your personal information - My ISED Account - ISED,http://ic.gc.ca/app/scr/registration-inscription/update/updatePersonal.html,http://ic.gc.ca/app/scr/registration-inscription/update/updatePersonal.html,6,8,29,0
,http://ic.gc.ca/app/scr/registration-inscription/register_email.html,http://ic.gc.ca/app/scr/registration-inscription/register_email.html,6,6,18,0
,http://www.cipo.ic.gc.ca/app/scr/registration-inscription/register_email.html,http://www.cipo.ic.gc.ca/app/scr/registration-inscription/register_email.html,6,9,33,0
,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07668.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07668.html,6,7,28,0
,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07133.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07133.html,5,6,32,0
,http://ito.ic.gc.ca/app/scr/registration-inscription/accueil.html?lang=fra,http://ito.ic.gc.ca/app/scr/registration-inscription/accueil.html?lang=fra,5,5,43,0
Create an account - step 1 of 2 - My ISED Account - ISED,http://strategis.ic.gc.ca/app/scr/registration-inscription/register_email.html?lang=eng,http://strategis.ic.gc.ca/app/scr/registration-inscription/register_email.html?lang=eng,5,6,16,0
Accéder à votre compte - Mon compte à Industrie Canada - Industrie Canada,http://ito.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fra,http://ito.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fra,5,6,18,0
Access your account - My ISED Account - ISED,http://fednor.gc.ca/app/scr/registration-inscription/home.html,http://fednor.gc.ca/app/scr/registration-inscription/home.html,5,18,48,0
- Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=261,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=261,5,6,100,0
,http://strategis.ic.gc.ca/app/scr/registration-inscription/CreerUnCompteReussi.html?lang=fra,http://strategis.ic.gc.ca/app/scr/registration-inscription/CreerUnCompteReussi.html?lang=fra,4,5,241,0
,http://www.ic.gc.ca/app/scr/registration-inscription/success2.html?lang=fra,http://www.ic.gc.ca/app/scr/registration-inscription/success2.html?lang=fra,4,4,200,0
Create an account - success - My ISED Account - ISED,http://oti.ic.gc.ca/app/scr/registration-inscription/success.html,http://oti.ic.gc.ca/app/scr/registration-inscription/success.html,4,5,165,0
"Programs and initiatives - Innovation, Science and Economic Development Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07654.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07654.html,4,4,428,0
Intellectual property and copyright - Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=6,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=6,4,4,0,0
Indiquez la réponse à votre question de récupération du mot de passe - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/ForgotPasswordGen.html?lang=fra,http://www.ic.gc.ca/app/scr/registration-inscription/ForgotPasswordGen.html?lang=fra,4,4,14,0
Change your challenge question - My ISED Account - ISED,http://oti.ic.gc.ca/app/scr/registration-inscription/update/updateSecretQuestion.html,http://oti.ic.gc.ca/app/scr/registration-inscription/update/updateSecretQuestion.html,4,4,4,0
Change your password - My ISED Account - ISED,http://oti.ic.gc.ca/app/scr/registration-inscription/update/updatePassword.html,http://oti.ic.gc.ca/app/scr/registration-inscription/update/updatePassword.html,4,4,61,0
,http://www.ic.gc.ca/eic/site/ic-gc.nsf/fra/07422.html,http://www.ic.gc.ca/eic/site/ic-gc.nsf/fra/07422.html,4,4,0,0
,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=201,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=201,4,7,354,0
,http://ito.ic.gc.ca/app/scr/registration-inscription/accueil.html,http://ito.ic.gc.ca/app/scr/registration-inscription/accueil.html,4,4,88,0
,http://ito.ic.gc.ca/app/scr/registration-inscription/home.html,http://ito.ic.gc.ca/app/scr/registration-inscription/home.html,4,7,125,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07024.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07024.html,4,4,0,0
"Thème science et innovation – Articles promotionnels - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/frm-fra/MMCN-9VZKNH,http://www.ic.gc.ca/eic/site/icgc.nsf/frm-fra/MMCN-9VZKNH,4,7,430,0
Create an account - success - My ISED Account - ISED,http://strategis.ic.gc.ca/app/scr/registration-inscription/success.html?lang=eng,http://strategis.ic.gc.ca/app/scr/registration-inscription/success.html?lang=eng,3,3,16,0
,http://www.ic.gc.ca/app/scr/registration-inscription/ForgotUsername.html?lang=eng,http://www.ic.gc.ca/app/scr/registration-inscription/ForgotUsername.html?lang=eng,3,4,3,0
,http://www.crc.gc.ca/app/scr/registration-inscription/home.html,http://www.crc.gc.ca/app/scr/registration-inscription/home.html,3,3,0,0
,http://www-ic.fjgc-gccf.gc.ca/eic/site/icgc.nsf/eng/home,http://www-ic.fjgc-gccf.gc.ca/eic/site/icgc.nsf/eng/home,3,3,0,0
,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07026.html,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07026.html,3,3,12,0
,http://strategis.ic.gc.ca/app/scr/registration-inscription/register.html?lang=eng,http://strategis.ic.gc.ca/app/scr/registration-inscription/register.html?lang=eng,3,3,541,0
,http://strategis.ic.gc.ca/app/scr/registration-inscription/CreerUnCompte.html?lang=fra,http://strategis.ic.gc.ca/app/scr/registration-inscription/CreerUnCompte.html?lang=fra,3,4,18,0
,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?lang=eng&tpcId=1,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?lang=eng&tpcId=1,3,3,4,0
"Carte du site - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/cartedusite.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/cartedusite.html,3,5,141,0
,http://ic.gc.ca/app/scr/registration-inscription/accueil.html?lang=fra,http://ic.gc.ca/app/scr/registration-inscription/accueil.html?lang=fra,3,3,39,0
,http://hults.sdaily.live/eic/site/icgc.nsf/fra/h_07033.html,http://hults.sdaily.live/eic/site/icgc.nsf/fra/h_07033.html,3,3,4,0
"Mandate - Innovation, Science and Economic Development Canada",http://www.nuans.com/eic/site/icgc.nsf/eng/h_00018.html,http://www.nuans.com/eic/site/icgc.nsf/eng/h_00018.html,3,3,0,0
,http://strategis.ic.gc.ca/app/scr/registration-inscription/usernameEmailSuccess.html?lang=eng,http://strategis.ic.gc.ca/app/scr/registration-inscription/usernameEmailSuccess.html?lang=eng,3,3,256,0
,http://www.ic.gc.ca/eic/site/icgc.nsf/mail/ESZO-948R6P,http://www.ic.gc.ca/eic/site/icgc.nsf/mail/ESZO-948R6P,3,4,656,0
Access your account - My ISED Account - ISED,http://corporationscanada.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,http://corporationscanada.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng,3,4,11,0
"À propos de nous - Innovation, Sciences et Développement économique Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_07017.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_07017.html,3,3,13,0
Create an account - step 1 of 2 - My ISED Account - ISED,http://corporationscanada.ic.gc.ca/app/scr/registration-inscription/register_email.html,http://corporationscanada.ic.gc.ca/app/scr/registration-inscription/register_email.html,3,3,9,0
,http://www.cipo.ic.gc.ca/app/scr/registration-inscription/register.html,http://www.cipo.ic.gc.ca/app/scr/registration-inscription/register.html,3,4,417,0
Nous avons trouvé votre nom d'utilisateur. - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/usernameEmailSuccess.html?lang=fra,http://www.ic.gc.ca/app/scr/registration-inscription/usernameEmailSuccess.html?lang=fra,3,3,11,0
"Enquiry/Feedback Acknowledgement - Innovation, Science and Economic Development Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/00281.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/00281.html,3,3,0,0
,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/sitemap.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/sitemap.html,3,3,153,0
,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?tpcId=101,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?tpcId=101,3,5,11,0
,http://ic.gc.ca/app/scr/registration-inscription/ForgotPasswordGen.html,http://ic.gc.ca/app/scr/registration-inscription/ForgotPasswordGen.html,3,5,16,0
,http://strategis.ic.gc.ca/app/scr/registration-inscription/usernameEmailSuccess.html?lang=fra,http://strategis.ic.gc.ca/app/scr/registration-inscription/usernameEmailSuccess.html?lang=fra,3,3,22,0
"Accueil - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca./eic/site/icgc.nsf/fra/accueil,http://www.ic.gc.ca./eic/site/icgc.nsf/fra/accueil,2,3,158,0
Créer un compte - étape 2 de 2 - Mon compte à Industrie Canada - Industrie Canada,http://strategis.ic.gc.ca/app/scr/registration-inscription/Creer.html?lang=fra,http://strategis.ic.gc.ca/app/scr/registration-inscription/Creer.html?lang=fra,2,7,85,0
,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/home.html,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/home.html,2,4,13,0
,http://www.ic.gc.ca/app/scr/registration-inscription/ForgotPasswordGen.html?lang=eng,http://www.ic.gc.ca/app/scr/registration-inscription/ForgotPasswordGen.html?lang=eng,2,2,33,0
,http://www.ic.gc.ca/eic/site/icgc.nsf/frm-fra/MMCN-9VEL69,http://www.ic.gc.ca/eic/site/icgc.nsf/frm-fra/MMCN-9VEL69,2,2,1,0
,http://www.consumerinformation.ca/app/scr/registration-inscription/home.html?lang=eng,http://www.consumerinformation.ca/app/scr/registration-inscription/home.html?lang=eng,2,2,11,0
Create an account - step 1 of 2 - My ISED Account - ISED,http://oti.ic.gc.ca/app/scr/registration-inscription/register_email.html?lang=eng,http://oti.ic.gc.ca/app/scr/registration-inscription/register_email.html?lang=eng,2,3,35,0
,http://oti.ic.gc.ca/app/scr/registration-inscription/ForgotPasswordGen.html,http://oti.ic.gc.ca/app/scr/registration-inscription/ForgotPasswordGen.html,2,3,21,0
,http://www.ic.gc.ca/eic/site/icgc.nsf/frm-eng/ESZO-948R6P,http://www.ic.gc.ca/eic/site/icgc.nsf/frm-eng/ESZO-948R6P,2,2,15,0
,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?tpcId=1,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?tpcId=1,2,2,0,0
Download a listing of points of interest for topic: Industries and business - Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?lang=eng&tpcId=5,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?lang=eng&tpcId=5,2,3,10,0
Create an account - step 1 of 2 - My ISED Account - ISED,http://fednor.gc.ca/app/scr/registration-inscription/register_email.html?lang=eng,http://fednor.gc.ca/app/scr/registration-inscription/register_email.html?lang=eng,2,3,18,0
Mettre votre compte à jour - Mon compte à Industrie Canada - Industrie Canada,http://ito.ic.gc.ca/app/scr/registration-inscription/update/update.html,http://ito.ic.gc.ca/app/scr/registration-inscription/update/update.html,2,4,47,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07033.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07033.html,2,2,1296,0
,http://ito.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=181,http://ito.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=181,2,3,3,0
,http://www.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng\,http://www.ic.gc.ca/app/scr/registration-inscription/home.html?lang=eng\,2,2,78,0
,http://www.ic.gc.ca./eic/site/icgc.nsf/fra/h_00007.html,http://www.ic.gc.ca./eic/site/icgc.nsf/fra/h_00007.html,2,2,0,0
